"36","19","2014-08-27 02:11:46","Low","35","39","6","6","9","9",
"37","19","2014-08-27 02:15:13","High","40","29","27","30","5","5",
"38","19","2014-08-27 02:31:52","High","33","28","20","17","4","5",
"39","24","2014-08-27 02:58:40","Mid","48","48","9","8","6","5",
"40","18","2014-08-27 03:06:31","High","36","35","20","15","5","6","This+was+really+well+done"
"41","22","2014-08-27 04:42:03","High","12","16","46","46","3","3",
"42","18","2014-08-27 06:09:21","High","46","40","10","10","8","8",
"43","19","2014-08-27 06:28:31","High","2","1","20","50","6","7","The+first+and+last+tests+were+annoying+more+than+fun."
"44","30","2014-08-27 07:32:44","Mid","20","25","7","9","1","1","English+is+not+my+first+language%2C+so+the+last+test+was+quite+diffucult+for+me%0D%0A"
"45","32","2014-08-27 07:42:30","Low","18","9","8","6","3","3",
"46","28","2014-08-27 10:28:21","High","30","30","22","21","5","5",
"47","21","2014-08-27 23:25:13","Mid","18","18","50","4","0","2","I+loath+word+puzzles.+The+first+test+I+was+confused+about+the+slider.+Sorry.+%3A%28"
"48","27","2014-08-28 13:36:48","Low","33","33","10","12","3","2","I+usually+play+games+very+rarely%2C+but+when+I+do%2C+a+lot+in+one+go.+I+buy+a+new+game+for+my+xbox+a+couple+of+times+per+year%2C+spend+all+my+free+time+for+a+week+on+completing+it%2C+and+then+don%27t+play+anything+for+the+next+3+months."
"49","23","2014-08-28 14:38:29","High","31","31","30","20","3","4",
"50","20","2014-08-28 15:24:07","High","30","30","20","10","5","5",
"51","19","2014-08-29 06:40:34","Mid","14","17","19","19","5","5",
"52","22","2014-08-29 10:41:27","Mid","10","10","10","20","5","6",
"53","25","2014-08-29 18:02:31","Low","38","36","15","13","5","6",
"54","35","2014-08-29 19:14:25","Low","35","37","40","44","5","5",
"55","20","2014-08-31 05:38:37","High","46","44","14","14","4","4",
"56","24","2014-08-31 21:55:32","Low","58","30","30","50","5","3","The+kinesthetic+tasks+maximum+radius+is+unachievable.+"
"57","23","2014-09-19 10:58:13","High","35","39","1","3","3","3",
"58","25","2014-09-19 11:54:40","High","30","40","20","20","2","2",
"59","21","2014-09-19 12:49:29","High","40","30","45","7","7","6","I+automatically+assumed+bigger+numbers+meant+more+difficult+on+the+visual+task%2C+clicked+thorugh+the+confirmation+message+just+beofre+realizing+my+mistake.%0D%0AAlso%2C+for+the+maze+task%2C+I+picked+lower+difficulties+just+because+playing+at+hard+difficulties+is+really+slow.+Challenging+myself+by+trying+to+go+quickly+through+the+maze+is+much+more+fun+then+slowly+inching+my+way+thorugh."
"60","23","2014-09-19 14:45:08","High","30","10","20","20","3","6",
"61","26","2014-09-19 17:49:07","High","30","25","10","20","10","4",
"62","23","2014-09-19 21:00:23","High","20","23","20","30","6","6",
"63","19","2014-09-19 21:23:14","Mid","12","10","8","9","6","7",
"64","27","2014-09-20 08:44:07","High","53","40","30","41","8","8",
"65","25","2014-09-20 19:59:40","High","28","28","18","12","7","7",
"66","33","2014-09-21 12:01:16","High","40","30","37","40","5","3",
"67","21","2014-09-21 19:48:19","Low","39","44","5","4","4","5",
"68","20","2014-10-03 12:17:04","High","25","20","5","2","3","4",
"69","27","2014-10-03 23:46:12","Low","20","26","20","20","5","5",
